DesisionTreeRegressor_rmse,SVR_rmse,KNeighborsRegressor_rmse
0.65124011,0.63355962,0.47295946
0.65340535,0.65121886,0.48517119
0.64465794,0.6344166,0.47722351
0.64994887,0.63087894,0.47076948
0.63977106,0.62869818,0.47473749
0.63648832,0.64653166,0.47274909
0.637918,0.63289437,0.48300086
0.62791286,0.6279582,0.46332665
0.65446881,0.65714516,0.49836331
0.65063065,0.63477349,0.47269998
0.63667571,0.6322689,0.48302653
0.6648873,0.6483995,0.48721973
0.641525,0.64235819,0.48011728
0.63490494,0.63260267,0.47381991
0.66586388,0.63688587,0.47886103
0.6497646,0.63133836,0.4850603
0.66084528,0.64119881,0.48713874
0.6456736,0.64724522,0.47008273
0.64236611,0.64921584,0.47401027
0.64451304,0.63050828,0.47753174
0.63936691,0.63604448,0.47798568
0.63985854,0.62673046,0.47121929
0.65242373,0.63949167,0.48119922
0.64311743,0.6473621,0.47096599
0.64715814,0.63604695,0.47699174
0.64639946,0.64009222,0.46865972
0.64984818,0.64049308,0.47896056
0.63937118,0.62253462,0.47373528
0.64376885,0.64693062,0.48657173
0.65490749,0.63296484,0.47655206
0.6414267,0.64764506,0.49065924
0.64900272,0.63784990,0.487553450
0.62516971,0.642871940,0.466528570
0.62121797,0.627642480,0.480292810
0.64539779,0.634643480,0.473919120
0.64575685,0.635587020,0.482777490
0.65038028,0.643399510,0.481020990
0.64205285,0.641876510,0.472490040
0.64931129,0.617435350,0.480164070
0.6546203,0.631006720,0.483622240
0.63741242,0.63893520,0.469817260
0.65821129,0.630824850,0.482428850
0.6608691,0.646364850,0.484917820
0.66019,0.628902260,0.479555660
0.65730928,0.650071280,0.48389510
0.65555155,0.647976960,0.487032130
0.65789862,0.627677590,0.484382420
0.64162984,0.629776850,0.477830320
0.64401052,0.638852080,0.482700780
0.67007886,0.645363970,0.478117130
0.64377669,0.644461790,0.483958540
0.65166049,0.647577990,0.485305660
0.65109163,0.636305410,0.485101780
0.64408886,0.649198120,0.480950280
0.63067013,0.621453210,0.47015860
0.65099081,0.643426370,0.483998530
0.64767956,0.636295570,0.475465440
0.65827277,0.643220650,0.487816990
0.65295178,0.650009710,0.485965930
0.63883396,0.6312360,0.482680010
0.64736043,0.646820390,0.478115830
0.65348947,0.643968460,0.480486430
0.63493931,0.632875350,0.472709540
0.65745317,0.646794280,0.48743710
0.65535105,0.638395240,0.478138340
0.65653428,0.644045270,0.488258210
0.65714029,0.637604120,0.479541040
0.6382197,0.645159690,0.481354050
0.63982391,0.633355240,0.474785640
0.64524131,0.632576920,0.487192680
0.66660827,0.651859470,0.475626680
0.62089223,0.631050890,0.470577990
0.65572722,0.633559140,0.481690590
0.6401833,0.638682780,0.478576020
0.66516842,0.637311850,0.484505250
0.65844871,0.635298080,0.486273780
0.65378858,0.648289850,0.480205640
0.66028511,0.638415340,0.495234720
0.6601169,0.628924190,0.47230840
0.64216623,0.631628590,0.459414720
0.64912125,0.633137110,0.474996450
0.66048977,0.647255960,0.478454130
0.6563308,0.644192260,0.48647630
0.67527676,0.634373050,0.48353070
0.65200414,0.642805080,0.489321320
0.67047756,0.629511850,0.483839390
0.64402987,0.631616470,0.476604050
0.63488536,0.61669180,0.46880840
0.63760523,0.646651540,0.476771260
0.66793426,0.631425810,0.487051050
0.65143792,0.64663060,0.48173680
0.65435633,0.642133390,0.483660940
0.65419247,0.646846690,0.478041610
0.65409425,0.637869350,0.490827960
0.62979332,0.626331120,0.469852650
0.65154716,0.6587970,0.489820190
0.65415128,0.625387040,0.472107210
0.64379459,0.62980770,0.483936550
0.6495023,0.642988720,0.483686040
0.64917562,0.633357040,0.488479370
